sample_id,image,content_type,document_type,capture_type,layout_complexity,text_density,reference_risk,review_priority,smoke_cer_eligible,llm_judge_eligible,privacy_sensitive,width_px,height_px,laplacian_variance,mean_luminance,scorable_chars,scorable_lines
hand-written-001,hand-written/1.jpg,handwritten,archival_handwritten_note,scan_or_reproduction,simple,medium,medium,P1,True,True,False,936,1144,1702.602,233.38,599,17
hand-written-002,hand-written/2.jpg,handwritten,child_handwritten_letter,low_resolution_scan,simple,medium,medium,P1,True,True,False,435,604,2457.44,235.022,569,13
hand-written-003,hand-written/3.jpg,handwritten,handwritten_correspondence,scan_or_reproduction,simple,high,high,P0,True,True,False,1080,1352,519.924,225.905,872,17
hand-written-004,hand-written/4.jpg,handwritten,handwritten_quote,rotated_phone_photo,simple,low,high,P0,True,True,False,447,447,653.107,162.123,98,3
hand-written-005,hand-written/5.jpg,printed,printed_social_quote_graphic,digital_or_screenshot,decorative,medium,low,P2,True,True,False,415,739,4468.57,246.966,313,13
hand-written-006,hand-written/6.jpg,handwritten,handwritten_poetry,phone_photo,simple,low,medium,P1,True,True,False,1024,1024,147.464,181.55,102,4
hand-written-007,hand-written/7.jpg,handwritten,handwritten_public_note_on_printed_form,low_resolution_reproduction,moderate,high,high,P0,True,True,False,452,678,4934.953,231.565,1134,19
hand-written-008,hand-written/8.jpg,handwritten,handwritten_correspondence,scan_or_reproduction,simple,high,high,P0,True,True,False,469,654,8607.833,244.052,678,15
hand-written-009,hand-written/9.jpg,handwritten,handwritten_greeting_card,low_resolution_phone_photo,decorative,medium,medium,P1,True,True,False,399,501,901.521,191.422,300,9
hand-written-010,hand-written/10.jpg,handwritten,handwritten_anecdote_card,low_resolution_phone_photo,simple,high,high,P0,True,True,False,399,501,3253.675,213.969,969,16
typed-001,typed/1.jpg,printed,printed_book_page,clean_scan,simple,high,low,P2,True,True,False,1205,1280,2529.326,237.134,1569,6
typed-002,typed/2.jpg,printed,printed_book_page,low_resolution_phone_photo,simple,high,medium,P1,True,True,False,300,400,2913.018,150.487,1394,6
typed-003,typed/3.jpg,printed,printed_book_page,clean_scan,simple,high,low,P2,True,True,False,1097,1200,2606.665,243.858,985,3
typed-004,typed/4.jpg,printed,printed_book_page_partial_crop,cropped_low_light_phone_photo,simple,high,high,P0,True,True,False,410,510,942.095,123.134,1217,20
typed-005,typed/5.jpg,printed,printed_book_page_partial_crop,perspective_phone_photo,simple,high,medium,P1,True,True,False,410,510,2971.426,205.392,1035,4
typed-006,typed/6.jpg,printed,printed_checklist_table_form,digital_or_scan,complex_table,high,critical,P0,False,True,False,760,1000,17101.338,237.218,3085,37
typed-007,typed/7.jpg,printed,printed_identity_form,low_resolution_scan,multi_section_form,medium,high,P0,False,True,False,483,634,3597.679,240.22,607,24
typed-008,typed/8.jpg,printed,printed_social_quote_graphic,digital_or_screenshot,decorative,low,low,P2,True,True,False,415,738,1307.86,244.403,191,6
typed-009,typed/9.jpg,printed,printed_legal_decision_redacted,scan_or_reproduction,dense_legal_page,high,critical,P0,False,False,True,1206,1500,2883.351,232.398,1847,17
typed-010,typed/10.jpg,printed,printed_business_letter_template,low_resolution_scan,simple_form_letter,medium,medium,P1,True,True,False,500,695,1630.378,245.648,892,10
