Model:              tesseract_fas
Comparison class:   full_page_detector_recognizer_pipeline
Protocol:           phase1_screening (no ranks)
Dataset:            smoke20-v1
Selected images:    20/20
Preprocessing:      raw
Results output:     C:\my_projects\05_train_models_datasets\persian-ocr\bench_runs\smoke20-v1\tesseract_fas.json

  [OK ] hand-written-001  CER=0.694 t=0.92s
  [OK ] hand-written-002  CER=0.504 t=0.60s
  [OK ] hand-written-003  CER=0.735 t=1.62s
  [OK ] hand-written-004  CER=1.000 t=0.12s
  [OK ] hand-written-005  CER=0.383 t=0.40s
  [OK ] hand-written-006  CER=0.752 t=0.42s
  [OK ] hand-written-007  CER=0.563 t=1.07s
  [OK ] hand-written-008  CER=0.689 t=0.71s
  [OK ] hand-written-009  CER=0.699 t=0.29s
  [OK ] hand-written-010  CER=0.876 t=0.39s
  [OK ] typed-001  CER=0.027 t=1.29s
  [OK ] typed-002  CER=1.000 t=0.11s
  [OK ] typed-003  CER=0.053 t=0.89s
  [OK ] typed-004  CER=0.874 t=0.32s
  [OK ] typed-005  CER=0.519 t=0.46s
  [OK ] typed-006  CER=0.198 t=1.77s
  [OK ] typed-007  CER=0.780 t=0.15s
  [OK ] typed-008  CER=0.042 t=0.22s
  [OK ] typed-009  CER=0.261 t=1.88s
  [OK ] typed-010  CER=0.395 t=0.43s

Results saved to: C:\my_projects\05_train_models_datasets\persian-ocr\bench_runs\smoke20-v1\tesseract_fas.json
