rank,id,name,category,parameter_count_b,persian_accuracy_estimation,notes
1,tesseract_fas,Tesseract Persian (fas),classical_ocr,,84.4,
2,ppocrv5_arabic_mobile_rec,PP-OCRv5 Arabic Mobile Recognition,line_recognizer,0.002,82.0,
3,easyocr_fa,EasyOCR Persian,traditional_neural_ocr,,73.3,
4,hezar_crnn_base_fa_v2,Hezar CRNN Base FA v2,line_recognizer,,89.0,
5,weightedai_persian_ocr,WeightedAI Persian-OCR,line_recognizer,,87.0,
6,falcon_ocr,Falcon-OCR,document_vlm,0.3,55.0,
7,got_ocr2,GOT-OCR 2.0,document_vlm,0.7,18.0,param corrected 0.58B->~0.7B per official card
8,surya_ocr_2,Surya OCR 2,document_vlm_pipeline,0.65,82.3,
9,paddleocr_vl_1_6,PaddleOCR-VL-1.6,document_vlm_pipeline,0.9,89.0,
10,glm_ocr,GLM-OCR,document_vlm,0.9,20.0,
11,hunyuanocr_1_5,HunyuanOCR-1.5,document_vlm,1.0,68.0,
12,lightonocr_2_1b,LightOnOCR-2-1B,document_vlm,1.0,58.0,
13,mineru_2_5_pro_2605,MinerU2.5-Pro-2605-1.2B,document_vlm_pipeline,1.2,70.0,
14,nanonets_ocr2_1_5b_exp,Nanonets-OCR2-1.5B-exp,document_vlm,1.5,72.0,
15,qwen3_vl_2b_persian_arabic_ocr,Qwen3-VL-2B Persian-Arabic OCR v1.0,persian_finetune,2.0,92.0,
16,khanandeh_0_1_persian_ocr_2b,Khanandeh 0.1 Persian OCR 2B Instruct,persian_finetune,2.0,84.0,
17,qwen3_vl_2b_instruct,Qwen3-VL-2B-Instruct,general_vlm_control,2.0,66.0,
18,infinity_parser2_flash,Infinity Parser 2 Flash,document_vlm,2.0,15.0,
19,firered_ocr,FireRed-OCR,document_vlm,2.0,70.0,
20,dots_ocr,dots.ocr,document_vlm,3.0,80.0,
21,dots_mocr,dots.mocr,document_vlm,3.0,82.0,
22,deepseek_ocr,DeepSeek-OCR,document_vlm,3.0,42.0,
23,deepseek_ocr_2,DeepSeek-OCR-2,document_vlm,3.0,58.0,
