priority,sample_id,image,content_type,document_type,reference_risk,smoke_cer_eligible,privacy_sensitive,issue,reviewer,review_date,decision,correction_summary
P0,hand-written-003,hand-written/3.jpg,handwritten,handwritten_correspondence,high,true,false,"Dense cursive handwriting, date, Latin title, signature and watermark. Full independent human transcription required.",,,,
P0,hand-written-004,hand-written/4.jpg,handwritten,handwritten_quote,high,true,false,Attribution/signature is uncertain. It is excluded from the refined scorable text until human confirmation.,,,,
P0,hand-written-007,hand-written/7.jpg,handwritten,handwritten_public_note_on_printed_form,high,true,false,Dense handwriting plus printed header/footer and watermark. Independently verify every line.,,,,
P0,hand-written-008,hand-written/8.jpg,handwritten,handwritten_correspondence,high,true,false,Bottom is cropped mid-sentence. Confirm the crop boundary and the final visible characters.,,,,
P0,hand-written-010,hand-written/10.jpg,handwritten,handwritten_anecdote_card,high,true,false,Dense low-resolution handwriting with shadow and footer. Full human review required.,,,,
P0,typed-004,typed/4.jpg,printed,printed_book_page_partial_crop,high,true,false,Legacy reference contains text outside the visible crop. Refined scorable text excludes clipped opening and closing lines; human confirmation remains required.,,,,
P0,typed-006,typed/6.jpg,printed,printed_checklist_table_form,critical,false,false,Legacy plain-text flattening has ambiguous table reading order. Requires cell/row/column structure annotation before CER/WER ranking.,,,,
P0,typed-007,typed/7.jpg,printed,printed_identity_form,high,false,false,Form field ordering is ambiguous in plain text. Add region and key-value annotations before ranking.,,,,
P0,typed-009,typed/9.jpg,printed,printed_legal_decision_redacted,critical,false,true,Contains black redactions and potentially sensitive legal details. Add redaction masks and human review before any public or CER-based use.,,,,
P1,hand-written-001,hand-written/1.jpg,handwritten,archival_handwritten_note,medium,true,false,Mixed handwritten Persian and small printed Persian/Latin footer. Confirm tiny footer text.,,,,
P1,hand-written-002,hand-written/2.jpg,handwritten,child_handwritten_letter,medium,true,false,Low resolution and informal spelling; verify exact spacing and punctuation without correcting the writer.,,,,
P1,hand-written-006,hand-written/6.jpg,handwritten,handwritten_poetry,medium,true,false,Verify the exact first hemistich and handwritten orthography.,,,,
P1,hand-written-009,hand-written/9.jpg,handwritten,handwritten_greeting_card,medium,true,false,Decorative object overlaps footer. Confirm the numeral phrase and footer text.,,,,
P1,typed-002,typed/2.jpg,printed,printed_book_page,medium,true,false,Very low resolution and uneven illumination; verify punctuation and short words.,,,,
P1,typed-005,typed/5.jpg,printed,printed_book_page_partial_crop,medium,true,false,Finger occlusion and page perspective. The final sentence is cropped and should remain incomplete.,,,,
P1,typed-010,typed/10.jpg,printed,printed_business_letter_template,medium,true,false,Template contains dotted blanks and irregular source spacing; preserve visible text without editorial correction.,,,,
P2,hand-written-005,hand-written/5.jpg,printed,printed_social_quote_graphic,low,true,false,"Historical folder name is misleading; content is printed, not handwritten.",,,,
P2,typed-001,typed/1.jpg,printed,printed_book_page,low,true,false,Clear linear text. Confirm typographic variants and ZWNJ policy.,,,,
P2,typed-003,typed/3.jpg,printed,printed_book_page,low,true,false,Clear linear text including page header and quotation marks.,,,,
P2,typed-008,typed/8.jpg,printed,printed_social_quote_graphic,low,true,false,Simple centered quote with attribution/branding.,,,,
